id=A123, gender=M, age=20, sales=123, bmi=Normal, salary=109, birthday=24-10-1996
id=B234, gender=F, age=16, sales=321, bmi=Overweight, salary=100, birthday=01-01-2001
id=C567, gender=F, age=54, sales=234, bmi=Obesity, salary=999, birthday=32-04-2017
id=D890, gender=M, age=26, sales=567, bmi=Underweight, salary=598, birthday=14-12-1990
id=C111, gender=m, age=99, sales=111, bmi=normal, salary=234, birthday=29-10-1917
id=Z999, gender=F, age=21, sales=435, bmi=Underweight, salary=500, birthday=10/09/1995
id=A123, gender=F, age=60, sales=797, bmi=Normal, salary=444, birthday=29-10-1956
id=A113, gender=F, age=32, sales=665, bmi=Normal, salary=347, birthday=07-19-1984
id=I111, gender=M, age=40, sales=512, bmi=Obesity, salary=231, birthday=01-11-1976
id=Y369, gender=F, age=25, sales=666, bmi=Normal, salary=689, birthday=14-12-1991
id=T123, gender=M, age=20, sales=654, bmi=Normal, salary=56, birthday=18-10-1996
id=G834, gender=M, age=26, sales=213, bmi=Overweight, salary=566, birthday=04-12-1990
id=S931, gender=F, age=15, sales=986, bmi=Obesity, salary=852, birthday=01-05-2001
id=P12, gender=M, age=18, sales=682, bmi=Underweight, salary=135, birthday=26-07-1998
id=P912, gender=D, age=18, sales=682, bmi=Underweight, salary=135, birthday=26-07-1998
id=P823, gender=M, age=78, sales=682, bmi=Underweight, salary=135, birthday=26-07-1998
id=B183, gender=M, age=18, sales=43, bmi=Underweight, salary=135, birthday=26-07-1998
id=P999, gender=M, age=18, sales=682, bmi=Fit, salary=135, birthday=26-07-1998
id=B720, gender=F, age=24, sales=867, bmi=Normal, salary=845864, birthday=06-01-1993
id=K591, gender=F, age=30, sales=867, bmi=Normal, salary=741, birthday=6/1/1987
id=N723, gender=F, age=30, sales=867, bmi=Normal, salary=741, birthday=06-15-1987
id=L831, gender=F, age=30, sales=867, bmi=Normal, salary=741, birthday=90-01-1987
id=J830, gender=F, age=30, sales=867, bmi=Normal, salary=741, birthday=06-01-3000
id=A123, gender=M, age=16, sales=123, bmi=Normal, salary=4523, birthday=20-10-2000
id=124, gender=F, age=16, sales=124, bmi=Normal, salary=24, birthday=21-11-2000
id=A125, gender=m, age=25, sales=125, bmi=Obesity, salary=25, birthday=06-05-1990
id=, gender=f, age=25, sales=126, bmi=Obesity, salary=26, birthday=07-06-1991
id=A127, gender=, age=24, sales=127, bmi=Overweight, salary=27, birthday=08-07-1992
id=A128, gender=F, age=23, sales=128, bmi=, salary=28, birthday=09-08-1993
id=A129, gender=m, age=22, sales=, bmi=Underweight, salary=29, birthday=10-09-1994
id=A130, gender=f, age=21, sales=130, bmi=, salary=30, birthday=11-10-1995
id=A131, gender=M, age=36, sales=131, bmi=Normal, salary=, birthday=03-04-1980
id=A132, gender=f, age=31, sales=132, bmi=Overweight, salary=32, birthday=
id=A123, gender=M, age=16, sales=123, bmi=Normal, salary=23, birthday=20-10-2000
id=A124, gender=F, age=16, sales=124, bmi=Normal, salary=24, birthday=21-11-2000
id=A125, gender=M, age=26, sales=125, bmi=Obesity, salary=25, birthday=06-05-1990
id=A126, gender=F, age=25, sales=126, bmi=Obesity, salary=26, birthday=07-06-1991
id=A127, gender=M, age=24, sales=127, bmi=Overweight, salary=27, birthday=08-07-1992
id=A128, gender=F, age=23, sales=128, bmi=Overweight, salary=28, birthday=09-08-1993
id=A129, gender=M, age=22, sales=129, bmi=Underweight, salary=29, birthday=10-09-1994
id=A130, gender=F, age=21, sales=130, bmi=Underweight, salary=30, birthday=11-10-1995
id=A131, gender=M, age=36, sales=131, bmi=Normal, salary=31, birthday=03-04-1980
id=A132, gender=F, age=31, sales=132, bmi=Overweight, salary=32, birthday=08-07-1985
id=A123, gender=M, age=23, sales=123, bmi=Normal, salary=39, birthday=31-01-1992
id=B123, gender=F, age=25, sales=234, bmi=Normal, salary=39, birthday=25-12-1989
id=I123, gender=M, age=2, sales=13, bmi=Overweight, salary=123, birthday=31-12-1989
id=123I, gender=m, age=90, sales=40.5, bmi=Underweight, salary=000, birthday=15-03-1927
id=XXD4, gender=F, age=50, sales= 001, bmi=, salary=002, birthday=29-02-1967
id=u258, gender=F, age=50, sales=999, bmi=Obesity, salary=999, birthday=31-02-1967
id=Q258, gender=X, age=50, sales=999, bmi=Normal, salary=.99, birthday=1967-02-01
id=Q258, gender=F, age=50, sales=999, bmi=Normal, salary=123, birthday=01-01-1967
id=Q234, gender=F, age=50, sales=123, bmi=Normal, salary=123, birthday=01-01-1967
id=X444, gender=M, age=87, sales=531, bmi=Overweight, salary=221, birthday=27-05-1929
id=Y572, gender=M, age=30, sales=423, bmi=Normal, salary=513, birthday=25-11-1956
id=N472, gender=F, age=64, sales=681, bmi=Obesity, salary=13, birthday=18-03-1952
id=S822, gender=M, age=16, sales=225, bmi=Underweight, salary=651, birthday=15-08-2000
id=B736, gender=F, age=48, sales=135, bmi=Normal, salary=715, birthday=05-11-1968
id=I918, gender=F, age=63, sales=142, bmi=Overweight, salary=31, birthday=04-12-1953
id=V902, gender=F, age=50, sales=413, bmi=Underweight, salary=635, birthday=21-07-1966
id=B263, gender=C, age=25, sales=741, bmi=Normal, salary=513, birthday=30-01-1982
id=Q625, gender=F, age=65, sales=134, bmi=Obesity, salary=31, birthday=12-03-1952
